"book","chapter","verse","edition","text" 
"Ev","3","01","2.06","ἐν@pd (ὁ@ddns) ἔτος@ndnsc πεντεκαιδέκατος@aodnsn (ὁ@dgfs ἡγεμονία@ngfsc) Τιβέριος@ngmsp Καῖσαρ@ngmsp ἐπί@pg ὁ@dgmp χρόνος@ngmpc (Πόντιος@ngmsp) Πιλᾶτος@ngmsp ()" 
"Ev","4","31","2.06","() κατέρχομαι@viaa3s εἰς@pa Καφαρναούμ@nafsp πόλις@nafsc ὁ@dgfs Γαλιλαία@ngfsp () εἰμί@viia3s διδάσκω@vppanms () ἐν@pd ὁ@ddfs συναγωγή@ndfsc" 
"Ev","4","32","2.06","() ἐκπλήσσω@viip3p (δέ@cc) πᾶς@ainmpn ἐπί@pd ὁ@ddfs διδαχή@ndfsc αὐτός@rpgms ὅτι@cs ἐν@pd ἐξουσία@ndfsc εἰμί@viia3s ὁ@dnms λόγος@nnmsc αὐτός@rpgms" 
"Ev","4","34","2.06","() τίς@rqnns ἐγώ@rpd-p καί@cc σύ@rpd-s Ἰησοῦς@nvmsp ἔρχομαι@viaa2s ἀπόλλυμι@vnaa ἐγώ@rpa-p οἶδα@vixa1s (σύ@rpa-s) τίς@rqnms εἰμί@vipa2s ὁ@dnms ἅγιος@annmsn ὁ@dgms θεός@ngmsc" 
"Ev","4","35","2.06","() ἐπιτιμάω@viaa3s αὐτός@rpdns ὁ@dnms Ἰησοῦς@nnmsp ()" 
"Ev","4","16","2.06","() Ναζαρά@nafsp ()" 
"Ev","4","23","2.06","() (ἰατρός@nvmsc θεραπεύω@vdaa2s σεαυτοῦ@rxams) ()" 
"Ev","4","29","2.06","() ἐκβάλλω@viaa3p αὐτός@rpams () ἄγω@viaa3p αὐτός@rpams ἕως@pg ὀφρύς@ngfsc ὁ@dgns ὄρος@ngnsc ()" 
"Ev","4","30","2.06","() διά@pg μέσος@angnsn αὐτός@rpgmp πορεύομαι@viim3s" 
"Ev","4","40","2.06","() ὁ@dafp χείρ@nafpc (ἐπιτίθημι@vppanms θεραπεύω@viia3s) αὐτός@rpamp" 
"Ev","4","41","2.06","(ἐξέρχομαι@viim3p) (δέ@cc καί@b) δαιμόνιον@nnnpc () (κραυγάζω@vppannp) () σύ@rpn-s εἰμί@vipa2s ὁ@dnms υἱός@nnmsc ὁ@dgms θεός@ngmsc (καί@cc) ἐπιτιμάω@vppanms (οὐ@b ἐάω@viia3s αὐτός@rpanp λαλέω@vnpa) ()" 
"Ev","4","42","2.06","() (πορεύομαι@viap3s) εἰς@pa ἔρημος@anamsn () ὁ@dnmp ὄχλος@nnmpc () κατέχω@viia3p αὐτός@rpams ()" 
"Ev","4","43","2.06","() δεῖ@vipa3s ἐγώ@rpa-s (καί@b ὁ@ddfp ἕτερος@aidfpn πόλις@ndfpc) εὐαγγελίζω@vnam ὁ@dafs βασιλεία@nafsc ὁ@dgms θεός@ngmsc ()" 
"Ev","5","02","2.06","() (ὁ@dnmp ἁλιεύς@nnmpc) ()" 
"Ev","5","09","2.06","θάμβος@nnmsc (γάρ@cc περιέχω@viaa3s) αὐτός@rpams () ἐπί@pd ὁ@ddfs ἄγρα@ndfsc ὁ@dgmp ἰχθύς@ngmpc ()" 
