"id","word_id","form","div_book","div_chapter","div_section","orig","lemma","bgmpos","document_id"
1,"1","ἐν","Ev","3","3.1","Ἐν","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
2,"2","τῷ","Ev","3","3.1","τῷ","ὁ","ddns","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
3,"3","ιε'","Ev","3","3.1","ιε'","πεντεκαιδέκατος","aodnsn","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
4,"4","ἔτει","Ev","3","3.1","ἔτει","ἔτος","ndnsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
5,"5","Τιβερίου","Ev","3","3.1","Τιβερίου","Τιβέριος","ngmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
6,"6","Καίσαρος","Ev","3","3.1","Καίσαρος","Καῖσαρ","ngmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
7,"7","ἐπι","Ev","3","3.1","ἐπι","ἐπί","pg","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
8,"8","τῶν","Ev","3","3.1","τῶν","ὁ","dgmp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
9,"9","χρόνων","Ev","3","3.1","χρόνων","χρόνος","ngmpc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
10,"10","Πιλάτου","Ev","3","3.1","Πιλάτου","Πιλᾶτος","ngmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
11,"11","κατῆλθεν","Ev","4","4.31","κατῆλθεν","κατέρχομαι","viaa3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
12,"12","ὁ","Ev","4","4.31","ὁ","ὁ","dnms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
13,"13","Ἰησοῦς","Ev","4","4.31","Ἰησοῦς","Ἰησοῦς","nnmsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
14,"14","εἰς","Ev","4","4.31","εἰς","εἰς","pa","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
15,"15","Καφαρναοὺμ","Ev","4","4.31","Καφαρναοὺμ","Καφαρναούμ","nafsp","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
16,"-",",","Ev","4","4.31",",",",",",","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
17,"16","καὶ","Ev","4","4.31","καὶ","καί","cc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
18,"17","ἦν","Ev","4","4.31","ἦν","εἰμί","viia3s","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
19,"18","διδάσκων","Ev","4","4.31","διδάσκων","διδάσκω","vppanms","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
20,"19","ἐν","Ev","4","4.31","ἐν","ἐν","pd","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
21,"20","τῇ","Ev","4","4.31","τῇ","ὁ","ddfs","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
22,"21","συναγωγῇ","Ev","4","4.31","συναγωγῇ","συναγωγή","ndfsc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
23,"-","·","Ev","4","4.31","·","·","·","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
24,"22","ἐξεπλήσσοντο","Ev","4","4.32","ἐξεπλήσσοντο","ἐκπλήσσω","viip3p","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
25,"23","δὲ","Ev","4","4.32","δὲ","δέ","cc","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
26,"24","πάντες","Ev","4","4.32","πάντες","πᾶς","ainmpn","urn:cts:greekLit:tlg2958.tlg00203-src-grc1"
