"book","chapter","verse","edition","text"
"Ev","3","01a","2.02","ἐν τῷ πεντεκαιδεκάτῳ ἔτει Τιβερίου Καίσαρος ἐπι τῶν χρόνων (Ποντίου) Πιλάτου"
"Ev","4","31","2.02","κατῆλθεν ὁ Ἰησοῦς εἰς Καφαρναόυμ πόλιν τῆς Γαλιλαίας καὶ ἦν διδάσκων () ἐν τῇ συναγωγῇ."
"Ev","4","32","2.02","[καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ ὅτι ἐν ἐξουσίᾳ ἦν ὁ λόγος αὐτοῦ.]"
"Ev","4","33","2.02","[καὶ ἐν τῇ συναγωγῇ ἦν ἄνθρωπος ἔχων πνεῦμα δαιμονίου ἀκαθάρτου καὶ ἀνέκραξεν φωνῇ μεγάλῃ·]"
"Ev","4","34","2.02","[τί ἡμῖν καὶ σοί Ἰησοῦ; ἦλθες ἀπολέσαι ἡμᾶς; οἶδά σε τίς εἶ ὁ ἅγιος τοῦ θεοῦ]"
"Ev","4","35","2.02","[καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς λέγων· φιμώθητι καὶ ἔξελθε ἀπ᾽ αὐτοῦ. καὶ ῥῖψαν αὐτὸν τὸ δαιμόνιον εἰς τὸ μέσον ἐξῆλθεν ἀπ᾽ αὐτοῦ μηδὲν βλάψαν αὐτόν.]"
"Ev","4","16","2.02","καὶ ἦλθεν εἰς Ναζαρὲθ καὶ εἰσῆλθεν (κατὰ τὸ εἰωθὸς αὐτῷ) ἐν τῇ ἡμέρᾳ τῶν σαββάτων εἰς τὴν συναγωγήν."
"Ev","4","23a","2.02","[καὶ εἶπεν πρὸς αὐτούς· πάντως ἐρεῖτέ μοι τὴν παραβολὴν ταύτην· ἰατρέ θεράπευσον σεαυτόν·]"
"Ev","4","28","2.02","[καὶ ἐπλήσθησαν πάντες θυμοῦ ἐν τῇ συναγωγῇ ἀκούοντες ταῦτα]"
"Ev","4","29","2.02","[καὶ ἀναστάντες ἐξέβαλον αὐτὸν ἔξω τῆς πόλεως καὶ ἤγαγον αὐτὸν ἕως ὀφρύος τοῦ ὄρους ἐφ᾽ οὗ ἡ πόλις ᾠκοδόμητο αὐτῶν ὥστε κατακρημνίσαι αὐτόν·]"
"Ev","4","30","2.02","[αὐτὸς δὲ διελθὼν διὰ μέσου αὐτῶν ἐπορεύετο.]"
"Ev","4","40","2.02","[δύνοντος δὲ τοῦ ἡλίου πάντες ὅσοι εἶχον ἀσθενοῦντας νόσοις ποικίλαις ἤγαγον αὐτοὺς πρὸς αὐτόν· ὁ δὲ ἑνὶ ἑκάστῳ αὐτῶν τὰς χεῖρας ἐπιτιθεὶς ἐθεράπευεν αὐτούς.]"
"Ev","4","41","2.02","[ἐξήρχοντο δὲ καὶ δαιμόνια ἀπὸ πολλῶν κραυγάζοντα καὶ λέγοντα ὅτι σὺ εἶ ὁ υἱὸς τοῦ θεοῦ. καὶ ἐπιτιμῶν οὐκ εἴα αὐτὰ λαλεῖν.]"
"Ev","4","42","2.02","[γενομένης δὲ ἡμέρας ἐξελθὼν ἐπορεύθη εἰς ἔρημον τόπον καὶ οἱ ὄχλοι ἐπεζήτουν αὐτὸν· καὶ ἦλθον ἕως αὐτοῦ καὶ κατεῖχον αὐτὸν τοῦ μὴ πορεύεσθαι ἀπ᾽ αὐτῶν.]"
"Ev","4","43","2.02","[ὁ δὲ εἶπεν πρὸς αὐτοὺς ὅτι καὶ ταῖς ἑτέραις πόλεσιν εὐαγγελίσασθαί με δεῖ τὴν βασιλείαν τοῦ θεοῦ ὅτι ἐπὶ τοῦτο ἀπεστάλην.]"
"Ev","5","01","2.02","[ἐγένετο δὲ ἐν τῷ τὸν ὄχλον ἐπικεῖσθαι αὐτῷ καὶ ἀκούειν τὸν λόγον τοῦ θεοῦ καὶ αὐτὸς ἦν ἑστὼς παρὰ τὴν λίμνην Γεννησαρέτ]"
"Ev","5","02","2.02","[καὶ ἴδεν δύο πλοιάρια ἑστῶτα παρὰ τὴν λίμνην· οἱ δὲ ἁλεεῖς ἀπ᾽ αὐτῶν ἀποβάντες ἔπλυναν τὰ δίκτυα.]"
"Ev","5","03","2.02","[ἐμβὰς δὲ εἰς ἓν τῶν πλοίων ὃ ἦν Σίμωνος ἠρώτησεν αὐτὸν ἀπὸ τῆς γῆς ἐπαναγαγεῖν ὀλίγον· καθίσας δὲ ἐν τῷ πλοίῳ ἐδίδασκεν τοὺς ὄχλους.]"
"Ev","5","04","2.02","[ὡς δὲ ἐπαύσατο λαλῶν εἶπεν πρὸς τὸν Σίμωνα· ἐπανάγαγε εἰς τὸ βάθος καὶ χαλάσατε τὰ δίκτυα ὑμῶν εἰς ἄγραν.]"
"Ev","5","05","2.02","[καὶ ἀποκριθεὶς Σίμων εἶπεν· ἐπιστάτα δι᾽ ὅλης νυκτὸς κοπιάσαντες οὐδὲν ἐλάβομεν· ἐπὶ δὲ τῷ ῥήματί σου χαλάσω τὰ δίκτυα.]"
"Ev","5","06","2.02","[καὶ τοῦτο ποιήσαντες συνέκλεισαν πλῆθος ἰχθύων πολύ· διερήσσετο δὲ τὰ δίκτυα αὐτῶν.]"
"Ev","5","07","2.02","[καὶ κατένευσαν τοῖς μετόχοις ἐν τῷ ἑτέρῳ πλοίῳ τοῦ ἐλθόντας συλλαβέσθαι αὐτοῖς· καὶ ἦλθαν καὶ ἔπλησαν ἀμφότερα τὰ πλοῖα ὥστε βυθίζεσθαι αὐτά.]"
"Ev","5","08","2.02","[ἰδὼν δὲ Σίμων Πέτρος προσέπεσεν τοῖς γόνασιν Ἰησοῦ λέγων· ἔξελθε ἀπ᾽ ἐμοῦ ὅτι ἀνὴρ ἁμαρτωλός εἰμι κύριε.]"
